date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2020-05-17,2020,5,17,chokepoint6,Strait of Hormuz,11,17,7,1,50,36,86,352300,735205,33859,0,2583287,1121365,3704653,12773
2020-05-18,2020,5,18,chokepoint6,Strait of Hormuz,13,5,2,1,38,21,59,411121,166591,4302,3586,1820306,585602,2405908,12774
2020-05-19,2020,5,19,chokepoint6,Strait of Hormuz,14,18,3,3,55,38,93,663239,546300,5575,5124,2752129,1220239,3972368,12775
2020-05-20,2020,5,20,chokepoint6,Strait of Hormuz,14,14,5,4,48,37,85,433937,703835,30524,16870,2829238,1185168,4014407,12776
2020-05-21,2020,5,21,chokepoint6,Strait of Hormuz,13,15,2,2,54,32,86,174031,269167,6401,0,4105923,449600,4555524,12777
2020-05-22,2020,5,22,chokepoint6,Strait of Hormuz,10,8,1,2,40,21,61,559021,187038,1530,4867,2887902,752457,3640360,12778
2020-05-23,2020,5,23,chokepoint6,Strait of Hormuz,14,18,4,3,44,39,83,740984,774329,6732,9778,1231967,1531824,2763792,12779
2020-05-24,2020,5,24,chokepoint6,Strait of Hormuz,12,8,5,1,44,26,70,170166,228438,18822,0,2208531,417427,2625959,12780
2020-05-25,2020,5,25,chokepoint6,Strait of Hormuz,10,13,5,1,38,29,67,365090,578251,21609,3353,1260140,968304,2228445,12781
2020-05-26,2020,5,26,chokepoint6,Strait of Hormuz,13,16,2,2,51,33,84,576593,470963,3793,0,2517934,1051350,3569285,12782
2020-05-27,2020,5,27,chokepoint6,Strait of Hormuz,7,13,3,4,49,27,76,297654,351614,33239,5038,2318535,687545,3006081,12783
2020-05-28,2020,5,28,chokepoint6,Strait of Hormuz,14,9,3,0,49,26,75,300073,139241,52705,0,2162626,492020,2654647,12784
2020-05-29,2020,5,29,chokepoint6,Strait of Hormuz,9,14,1,2,52,26,78,392264,337476,0,760,3340487,730500,4070988,12785
2020-05-30,2020,5,30,chokepoint6,Strait of Hormuz,12,15,4,2,39,33,72,371254,753154,16061,6223,1236648,1146693,2383341,12786
2020-05-31,2020,5,31,chokepoint6,Strait of Hormuz,16,13,5,0,54,34,88,626478,387756,38793,0,3256779,1053029,4309808,12787
2020-06-01,2020,6,1,chokepoint6,Strait of Hormuz,12,14,3,2,48,31,79,410554,698480,24868,2889,2495125,1136792,3631918,12788
2020-06-02,2020,6,2,chokepoint6,Strait of Hormuz,12,17,6,2,56,37,93,327894,749933,25585,0,2385737,1103413,3489151,12789
2020-06-03,2020,6,3,chokepoint6,Strait of Hormuz,19,13,3,1,49,36,85,654637,233812,6914,0,2923337,895364,3818702,12790
2020-06-04,2020,6,4,chokepoint6,Strait of Hormuz,10,15,4,1,61,30,91,334129,228639,8256,0,3582676,571025,4153701,12791
2020-06-05,2020,6,5,chokepoint6,Strait of Hormuz,9,14,6,4,45,33,78,331419,363720,32940,6179,2999183,734260,3733443,12792
2020-06-06,2020,6,6,chokepoint6,Strait of Hormuz,10,13,3,1,45,27,72,249575,258871,9751,2592,2633237,520790,3154028,12793
2020-06-07,2020,6,7,chokepoint6,Strait of Hormuz,14,14,0,2,47,30,77,521049,400067,0,4382,1868656,925500,2794157,12794
2020-06-08,2020,6,8,chokepoint6,Strait of Hormuz,8,13,3,1,46,25,71,224486,471741,10907,0,2029004,707134,2736138,12795
2020-06-09,2020,6,9,chokepoint6,Strait of Hormuz,12,14,8,1,49,35,84,414744,318244,58348,2013,2622041,793350,3415392,12796
2020-06-10,2020,6,10,chokepoint6,Strait of Hormuz,20,12,4,1,56,37,93,725236,471123,24964,0,3449972,1221324,4671296,12797
2020-06-11,2020,6,11,chokepoint6,Strait of Hormuz,9,10,5,4,49,28,77,264108,208139,35419,5329,1919779,512996,2432775,12798
2020-06-12,2020,6,12,chokepoint6,Strait of Hormuz,16,9,4,2,52,31,83,792850,215142,3676,0,3190379,1011669,4202049,12799
2020-06-13,2020,6,13,chokepoint6,Strait of Hormuz,11,17,1,1,53,30,83,213418,484050,6587,0,2665301,704056,3369357,12800
2020-06-14,2020,6,14,chokepoint6,Strait of Hormuz,15,18,6,0,55,39,94,260175,574583,20611,0,2746700,855370,3602071,14001
2020-06-15,2020,6,15,chokepoint6,Strait of Hormuz,13,13,2,2,46,30,76,400553,463473,6373,760,2066223,871160,2937384,14002
2020-06-16,2020,6,16,chokepoint6,Strait of Hormuz,13,11,6,0,48,30,78,515396,271193,17752,0,1765055,804342,2569398,14003
2020-06-17,2020,6,17,chokepoint6,Strait of Hormuz,22,12,4,0,54,38,92,630637,377466,34519,0,2391166,1042622,3433789,14004
2020-06-18,2020,6,18,chokepoint6,Strait of Hormuz,10,14,5,1,49,30,79,367167,726408,39732,0,2966442,1133307,4099750,14005
2020-06-19,2020,6,19,chokepoint6,Strait of Hormuz,22,15,5,3,49,45,94,701313,506478,42619,0,2609814,1250412,3860226,14006
2020-06-20,2020,6,20,chokepoint6,Strait of Hormuz,14,9,5,3,55,31,86,462523,354326,16215,6836,2300585,839902,3140487,14007
2020-06-21,2020,6,21,chokepoint6,Strait of Hormuz,12,14,3,2,61,31,92,404533,355398,3108,2562,2810021,765603,3575625,14008
2020-06-22,2020,6,22,chokepoint6,Strait of Hormuz,8,13,4,2,60,27,87,456411,609616,6224,3750,2640888,1076002,3716891,14009
2020-06-23,2020,6,23,chokepoint6,Strait of Hormuz,9,14,4,3,58,30,88,423849,317424,8746,1537,2201869,751557,2953426,14010
2020-06-24,2020,6,24,chokepoint6,Strait of Hormuz,18,12,5,2,44,37,81,604917,326107,39749,3788,2116056,974562,3090618,14011
2020-06-25,2020,6,25,chokepoint6,Strait of Hormuz,11,11,4,2,46,28,74,178164,404826,17080,0,2637861,600072,3237933,14012
2020-06-26,2020,6,26,chokepoint6,Strait of Hormuz,12,13,2,3,74,30,104,387309,378823,14020,8886,3726214,789039,4515253,14013
2020-06-27,2020,6,27,chokepoint6,Strait of Hormuz,12,9,5,0,50,26,76,377309,242327,50946,0,1221810,670582,1892392,14014
2020-06-28,2020,6,28,chokepoint6,Strait of Hormuz,14,11,4,2,45,31,76,664061,322422,17733,0,2019398,1004217,3023616,14015
2020-06-29,2020,6,29,chokepoint6,Strait of Hormuz,18,16,4,1,58,39,97,616784,521778,10582,0,1642325,1149145,2791470,14016
2020-06-30,2020,6,30,chokepoint6,Strait of Hormuz,13,17,8,0,56,38,94,415405,611543,78247,0,2155551,1105196,3260747,14017
2020-07-01,2020,7,1,chokepoint6,Strait of Hormuz,12,10,3,3,36,28,64,389258,408983,12046,7743,2151802,818032,2969835,14018
2020-07-02,2020,7,2,chokepoint6,Strait of Hormuz,14,12,7,2,40,35,75,611003,394686,33678,0,1656707,1039369,2696076,14019
2020-07-03,2020,7,3,chokepoint6,Strait of Hormuz,13,17,4,0,56,34,90,431719,636994,24672,0,2878467,1093385,3971853,14020
2020-07-04,2020,7,4,chokepoint6,Strait of Hormuz,13,21,3,2,45,39,84,338954,689085,4642,11531,3452998,1044213,4497211,14021
2020-07-05,2020,7,5,chokepoint6,Strait of Hormuz,12,12,8,1,57,33,90,348389,251510,46547,0,2338572,646447,2985020,14022
2020-07-06,2020,7,6,chokepoint6,Strait of Hormuz,13,8,3,1,46,25,71,539628,233696,16349,0,2824055,789674,3613730,14023
2020-07-07,2020,7,7,chokepoint6,Strait of Hormuz,13,12,9,1,65,35,100,423291,396552,101534,5310,3091186,926688,4017874,14024
2020-07-08,2020,7,8,chokepoint6,Strait of Hormuz,13,8,4,1,42,26,68,477062,323086,31827,0,1539979,831976,2371956,14025
2020-07-09,2020,7,9,chokepoint6,Strait of Hormuz,18,16,2,0,44,36,80,649673,499067,19497,0,1940791,1168238,3109030,14026
2020-07-10,2020,7,10,chokepoint6,Strait of Hormuz,8,11,4,3,49,26,75,362627,503728,5695,0,2795331,872051,3667382,14027
2020-07-11,2020,7,11,chokepoint6,Strait of Hormuz,11,12,5,2,58,30,88,283854,353056,27768,8347,3542546,673026,4215572,14028
2020-07-12,2020,7,12,chokepoint6,Strait of Hormuz,13,10,4,0,51,27,78,440420,124500,24082,0,2529586,589003,3118589,14029
2020-07-13,2020,7,13,chokepoint6,Strait of Hormuz,13,13,3,3,53,32,85,447693,331145,10927,8769,2670738,798535,3469274,14030
2020-07-14,2020,7,14,chokepoint6,Strait of Hormuz,9,15,3,2,54,29,83,275358,551337,8013,0,3074762,834709,3909471,14031
2020-07-15,2020,7,15,chokepoint6,Strait of Hormuz,12,15,2,0,51,29,80,338763,735325,0,0,2567800,1074089,3641890,14032
2020-07-16,2020,7,16,chokepoint6,Strait of Hormuz,10,10,4,1,47,25,72,269602,323791,36021,0,2401403,629414,3030818,14033
2020-07-17,2020,7,17,chokepoint6,Strait of Hormuz,10,11,6,1,54,28,82,454460,358524,57153,2996,2500649,873134,3373784,14034
2020-07-18,2020,7,18,chokepoint6,Strait of Hormuz,11,19,3,1,52,34,86,409800,538968,6682,0,2266617,955451,3222068,14035
2020-07-19,2020,7,19,chokepoint6,Strait of Hormuz,10,15,2,0,46,27,73,279728,456279,20727,0,1903441,756735,2660176,14036
2020-07-20,2020,7,20,chokepoint6,Strait of Hormuz,14,12,4,2,57,32,89,846790,278412,5361,0,2515976,1130564,3646541,14037
2020-07-21,2020,7,21,chokepoint6,Strait of Hormuz,12,8,4,1,51,25,76,335522,192296,8622,4912,2727732,541354,3269087,14038
2020-07-22,2020,7,22,chokepoint6,Strait of Hormuz,12,13,3,1,44,29,73,349438,424268,18421,7573,1444111,799702,2243814,14039
2020-07-23,2020,7,23,chokepoint6,Strait of Hormuz,13,7,1,3,48,24,72,439680,87336,0,877,2230585,527894,2758479,14040
2020-07-24,2020,7,24,chokepoint6,Strait of Hormuz,10,21,4,3,56,38,94,349413,416032,13466,1260,2660426,780172,3440598,14041
2020-07-25,2020,7,25,chokepoint6,Strait of Hormuz,14,10,5,0,62,29,91,395556,259985,22773,0,3144548,678314,3822863,14042
2020-07-26,2020,7,26,chokepoint6,Strait of Hormuz,17,16,3,2,61,38,99,506955,402837,48576,6328,1849601,964697,2814299,14043
2020-07-27,2020,7,27,chokepoint6,Strait of Hormuz,9,19,3,3,57,34,91,343615,715146,13775,2920,2100213,1075456,3175670,14044
2020-07-28,2020,7,28,chokepoint6,Strait of Hormuz,4,9,4,3,50,20,70,162316,236458,14821,557,2790850,414153,3205004,14045
2020-07-29,2020,7,29,chokepoint6,Strait of Hormuz,23,13,3,0,45,39,84,723831,473285,4546,0,2284795,1201663,3486458,14046
2020-07-30,2020,7,30,chokepoint6,Strait of Hormuz,11,15,4,2,66,32,98,252224,731104,9901,4009,3124813,997241,4122054,14047
2020-07-31,2020,7,31,chokepoint6,Strait of Hormuz,12,13,4,3,57,32,89,424656,335047,21538,15477,2495182,796720,3291903,14048
2020-08-01,2020,8,1,chokepoint6,Strait of Hormuz,11,13,5,1,55,30,85,316712,389622,15541,0,2131274,721876,2853150,14049
2020-08-02,2020,8,2,chokepoint6,Strait of Hormuz,14,13,3,2,51,32,83,504107,530179,9026,2236,2869621,1045549,3915170,14050
2020-08-03,2020,8,3,chokepoint6,Strait of Hormuz,10,18,4,0,60,32,92,508707,424694,2710,0,2680567,936112,3616680,14051
2020-08-04,2020,8,4,chokepoint6,Strait of Hormuz,17,13,3,2,65,35,100,505658,455401,38364,1833,3187831,1001257,4189089,14052
2020-08-05,2020,8,5,chokepoint6,Strait of Hormuz,11,17,3,2,47,33,80,450176,450442,17401,3256,3207724,921276,4129000,14053
2020-08-06,2020,8,6,chokepoint6,Strait of Hormuz,19,14,4,3,65,40,105,595539,436907,10576,0,2380417,1043023,3423441,14054
2020-08-07,2020,8,7,chokepoint6,Strait of Hormuz,11,11,8,1,52,31,83,557194,449205,58550,3496,4038020,1068446,5106467,14055
2020-08-08,2020,8,8,chokepoint6,Strait of Hormuz,10,13,3,0,64,26,90,333885,405391,22881,0,2336258,762159,3098417,14056
2020-08-09,2020,8,9,chokepoint6,Strait of Hormuz,17,14,3,2,50,36,86,513984,226294,5593,0,1913545,745872,2659417,14057
2020-08-10,2020,8,10,chokepoint6,Strait of Hormuz,9,14,5,1,50,29,79,443734,541544,6586,6223,1603403,998089,2601493,14058
2020-08-11,2020,8,11,chokepoint6,Strait of Hormuz,11,10,1,1,58,23,81,469895,401641,2504,3944,3182898,877985,4060884,14059
2020-08-12,2020,8,12,chokepoint6,Strait of Hormuz,9,13,2,0,62,24,86,190672,609905,0,0,2851726,800577,3652304,14060
2020-08-13,2020,8,13,chokepoint6,Strait of Hormuz,19,13,6,3,46,41,87,757932,290150,41470,7962,2213151,1097515,3310667,14061
2020-08-14,2020,8,14,chokepoint6,Strait of Hormuz,11,22,4,0,58,37,95,415348,744431,43756,0,2554737,1203536,3758273,14062
2020-08-15,2020,8,15,chokepoint6,Strait of Hormuz,11,19,5,1,75,36,111,308434,605506,47152,2013,3461918,963107,4425026,14063
2020-08-16,2020,8,16,chokepoint6,Strait of Hormuz,19,9,2,2,56,32,88,619545,139512,0,0,3782313,759058,4541372,14064
2020-08-17,2020,8,17,chokepoint6,Strait of Hormuz,11,16,4,2,43,33,76,431938,542107,29405,2013,1313447,1005464,2318911,14065
2020-08-18,2020,8,18,chokepoint6,Strait of Hormuz,13,12,7,2,56,34,90,649206,283520,19029,5436,3090191,957193,4047385,14066
2020-08-19,2020,8,19,chokepoint6,Strait of Hormuz,15,16,4,3,47,38,85,560799,563808,27552,6481,1836072,1158641,2994714,14067
2020-08-20,2020,8,20,chokepoint6,Strait of Hormuz,15,21,3,2,59,41,100,411136,634316,11282,4110,3008080,1060846,4068927,14068
2020-08-21,2020,8,21,chokepoint6,Strait of Hormuz,14,8,4,0,41,26,67,492809,264347,48568,0,1569866,805725,2375592,14069
2020-08-22,2020,8,22,chokepoint6,Strait of Hormuz,8,14,3,0,42,25,67,137081,669546,38980,0,2739866,845608,3585475,14070
2020-08-23,2020,8,23,chokepoint6,Strait of Hormuz,15,19,2,0,56,36,92,544490,388348,35262,0,2125308,968101,3093409,14071
2020-08-24,2020,8,24,chokepoint6,Strait of Hormuz,9,10,0,0,48,19,67,438478,156320,0,0,1475956,594798,2070754,14072
2020-08-25,2020,8,25,chokepoint6,Strait of Hormuz,6,9,3,1,55,19,74,151359,341989,822,5671,2508937,499844,3008781,14073
2020-08-26,2020,8,26,chokepoint6,Strait of Hormuz,8,13,4,0,45,25,70,417177,605035,14880,0,2669996,1037093,3707090,14074
2020-08-27,2020,8,27,chokepoint6,Strait of Hormuz,11,18,6,4,49,39,88,470080,934427,36147,11427,1763617,1452082,3215700,14075
2020-08-28,2020,8,28,chokepoint6,Strait of Hormuz,16,17,3,0,36,36,72,666868,408975,0,0,2022808,1075844,3098653,14076
2020-08-29,2020,8,29,chokepoint6,Strait of Hormuz,17,15,2,3,48,37,85,611014,674098,0,7379,2120499,1292492,3412992,14077
2020-08-30,2020,8,30,chokepoint6,Strait of Hormuz,12,19,6,3,51,40,91,372644,533084,37502,10194,2018891,953426,2972317,14078
2020-08-31,2020,8,31,chokepoint6,Strait of Hormuz,15,12,3,1,42,31,73,450234,356342,31900,0,2314831,838478,3153309,14079
2020-09-01,2020,9,1,chokepoint6,Strait of Hormuz,16,12,3,3,55,34,89,577840,603216,26959,4188,3099142,1212205,4311347,14080
2020-09-02,2020,9,2,chokepoint6,Strait of Hormuz,15,20,6,0,43,41,84,436712,747204,37776,0,1940153,1221693,3161847,14081
2020-09-03,2020,9,3,chokepoint6,Strait of Hormuz,10,16,7,2,45,35,80,479050,459590,45372,0,2195789,984013,3179802,14082
2020-09-04,2020,9,4,chokepoint6,Strait of Hormuz,11,9,2,1,62,23,85,266921,423584,15600,3203,3457886,709311,4167197,14083
2020-09-05,2020,9,5,chokepoint6,Strait of Hormuz,9,14,2,3,54,28,82,336119,348659,2175,4912,1680506,691866,2372373,14084
2020-09-06,2020,9,6,chokepoint6,Strait of Hormuz,22,19,4,2,46,47,93,788173,458927,36083,7366,1855581,1290551,3146132,14085
2020-09-07,2020,9,7,chokepoint6,Strait of Hormuz,16,22,2,0,61,40,101,725012,553787,12067,0,2218753,1290867,3509621,14086
2020-09-08,2020,9,8,chokepoint6,Strait of Hormuz,13,16,1,2,51,32,83,414561,518837,2934,2215,2014840,938548,2953389,14087
2020-09-09,2020,9,9,chokepoint6,Strait of Hormuz,12,19,3,2,50,36,86,438169,620782,8713,0,2813344,1067666,3881011,14088
2020-09-10,2020,9,10,chokepoint6,Strait of Hormuz,15,19,4,3,46,41,87,540102,553174,4402,3496,3091949,1101175,4193124,14089
2020-09-11,2020,9,11,chokepoint6,Strait of Hormuz,7,14,5,3,58,29,87,163884,808111,46922,8819,1868241,1027737,2895979,14090
2020-09-12,2020,9,12,chokepoint6,Strait of Hormuz,20,17,8,1,57,46,103,651791,393953,32121,6223,3515227,1084089,4599317,14091
2020-09-13,2020,9,13,chokepoint6,Strait of Hormuz,9,12,4,2,62,27,89,308725,355452,15549,5133,3172768,684861,3857629,14092
2020-09-14,2020,9,14,chokepoint6,Strait of Hormuz,13,16,2,0,38,31,69,290475,453971,12054,0,960631,756501,1717132,14093
2020-09-15,2020,9,15,chokepoint6,Strait of Hormuz,10,13,3,1,47,27,74,239395,373340,12401,0,2550098,625137,3175235,14094
2020-09-16,2020,9,16,chokepoint6,Strait of Hormuz,16,19,6,1,53,42,95,506561,763179,5676,0,2079174,1275417,3354592,14095
2020-09-17,2020,9,17,chokepoint6,Strait of Hormuz,18,14,5,1,56,38,94,456628,254634,18623,3106,3588851,732992,4321844,14096
2020-09-18,2020,9,18,chokepoint6,Strait of Hormuz,12,14,3,1,53,30,83,241196,460612,9685,0,2012146,711495,2723641,14097
2020-09-19,2020,9,19,chokepoint6,Strait of Hormuz,16,24,7,0,42,47,89,576685,484370,49451,0,885707,1110507,1996214,14098
2020-09-20,2020,9,20,chokepoint6,Strait of Hormuz,13,14,5,4,63,36,99,442880,275949,32915,4250,3003517,755996,3759513,14099
2020-09-21,2020,9,21,chokepoint6,Strait of Hormuz,23,21,8,1,53,53,106,812729,867562,17598,0,2552761,1697890,4250652,14100
2020-09-22,2020,9,22,chokepoint6,Strait of Hormuz,12,23,5,1,55,41,96,316327,569785,32515,0,2451012,918629,3369641,14101
2020-09-23,2020,9,23,chokepoint6,Strait of Hormuz,9,14,3,2,46,28,74,322798,293306,455,0,2492701,616560,3109262,14102
2020-09-24,2020,9,24,chokepoint6,Strait of Hormuz,17,16,5,3,62,41,103,799603,613997,50945,3326,2710837,1467874,4178711,14103
2020-09-25,2020,9,25,chokepoint6,Strait of Hormuz,15,20,3,2,60,40,100,439486,790369,8985,5525,2613263,1244366,3857630,14104
2020-09-26,2020,9,26,chokepoint6,Strait of Hormuz,18,17,2,1,43,38,81,538988,742862,5539,0,1940307,1287390,3227697,14105
2020-09-27,2020,9,27,chokepoint6,Strait of Hormuz,16,23,3,1,61,43,104,724535,857443,26690,4620,2621819,1613289,4235109,14106
2020-09-28,2020,9,28,chokepoint6,Strait of Hormuz,18,21,11,1,44,51,95,457478,584577,25686,9416,2403246,1077159,3480406,14107
2020-09-29,2020,9,29,chokepoint6,Strait of Hormuz,10,14,6,1,40,31,71,339264,471048,40493,0,1592143,850806,2442949,14108
2020-09-30,2020,9,30,chokepoint6,Strait of Hormuz,16,18,5,0,57,39,96,424399,822493,19438,0,2048238,1266331,3314569,14109
2020-10-01,2020,10,1,chokepoint6,Strait of Hormuz,17,16,3,2,51,38,89,522984,359620,6824,1524,2358370,890954,3249324,14110
2020-10-02,2020,10,2,chokepoint6,Strait of Hormuz,10,17,3,4,59,34,93,322049,497836,8533,0,2815671,828419,3644091,14111
2020-10-03,2020,10,3,chokepoint6,Strait of Hormuz,18,18,5,3,64,44,108,384912,724791,13483,0,3764264,1123187,4887452,14112
2020-10-04,2020,10,4,chokepoint6,Strait of Hormuz,11,18,2,3,51,34,85,513904,266015,41019,9912,1237139,830852,2067991,14113
2020-10-05,2020,10,5,chokepoint6,Strait of Hormuz,13,19,4,1,51,37,88,484801,693270,17188,0,2734681,1195260,3929941,14114
2020-10-06,2020,10,6,chokepoint6,Strait of Hormuz,10,9,3,0,73,22,95,336624,310321,5442,0,2748642,652388,3401031,14115
2020-10-07,2020,10,7,chokepoint6,Strait of Hormuz,12,15,5,2,59,34,93,519026,482394,7056,0,2703570,1008477,3712048,14116
2020-10-08,2020,10,8,chokepoint6,Strait of Hormuz,20,15,8,3,61,46,107,640021,493456,47893,2763,2520061,1184134,3704196,14117
2020-10-09,2020,10,9,chokepoint6,Strait of Hormuz,10,23,4,0,53,37,90,328976,621382,12106,0,3604504,962464,4566969,14118
2020-10-10,2020,10,10,chokepoint6,Strait of Hormuz,10,22,6,0,50,38,88,409202,561390,13310,0,1962124,983902,2946026,14119
2020-10-11,2020,10,11,chokepoint6,Strait of Hormuz,15,16,4,1,41,36,77,564855,480241,23620,2522,1327772,1071238,2399011,14120
2020-10-12,2020,10,12,chokepoint6,Strait of Hormuz,15,13,1,1,45,30,75,411417,447179,0,5471,1422285,864067,2286353,14121
2020-10-13,2020,10,13,chokepoint6,Strait of Hormuz,15,13,3,0,41,31,72,653328,455007,31531,0,1610421,1139867,2750288,14122
2020-10-14,2020,10,14,chokepoint6,Strait of Hormuz,8,13,0,0,40,21,61,464516,390971,0,0,1208268,855488,2063756,14123
2020-10-15,2020,10,15,chokepoint6,Strait of Hormuz,10,18,2,2,68,32,100,200788,298455,6832,3496,3961997,509572,4471569,14124
2020-10-16,2020,10,16,chokepoint6,Strait of Hormuz,12,14,1,2,47,29,76,463992,349912,13121,11397,2727421,838424,3565846,14125
2020-10-17,2020,10,17,chokepoint6,Strait of Hormuz,10,22,3,2,47,37,84,442858,649444,2117,0,2788877,1094421,3883299,14126
2020-10-18,2020,10,18,chokepoint6,Strait of Hormuz,5,11,0,6,58,22,80,53800,371326,0,15999,2603682,441126,3044809,14127
2020-10-19,2020,10,19,chokepoint6,Strait of Hormuz,15,14,6,1,44,36,80,707199,341340,30456,6087,1952080,1085084,3037164,14128
2020-10-20,2020,10,20,chokepoint6,Strait of Hormuz,10,16,11,1,51,38,89,341355,772745,20778,1260,1959907,1136139,3096047,14129
2020-10-21,2020,10,21,chokepoint6,Strait of Hormuz,17,13,1,1,60,32,92,772078,505818,2830,3209,2816353,1283935,4100289,14130
2020-10-22,2020,10,22,chokepoint6,Strait of Hormuz,9,16,3,3,52,31,83,271914,419120,22958,8787,2573631,722780,3296412,14131
2020-10-23,2020,10,23,chokepoint6,Strait of Hormuz,14,26,4,4,59,48,107,599589,949536,5919,4342,2636260,1559387,4195648,14132
2020-10-24,2020,10,24,chokepoint6,Strait of Hormuz,12,16,6,2,63,36,99,331652,446839,67603,0,2378150,846095,3224245,14133
2020-10-25,2020,10,25,chokepoint6,Strait of Hormuz,12,14,2,2,46,30,76,320981,573825,4958,3126,2457165,902892,3360057,14134
2020-10-26,2020,10,26,chokepoint6,Strait of Hormuz,15,20,5,2,60,42,102,568177,767546,62925,6584,2307375,1405233,3712609,14135
2020-10-27,2020,10,27,chokepoint6,Strait of Hormuz,13,17,4,2,57,36,93,398533,368704,6236,4660,1826288,778135,2604424,14136
2020-10-28,2020,10,28,chokepoint6,Strait of Hormuz,18,13,0,3,53,34,87,439311,108066,0,12821,1366325,560199,1926524,14137
2020-10-29,2020,10,29,chokepoint6,Strait of Hormuz,14,16,2,1,41,33,74,547247,527061,35937,1260,2141110,1111506,3252617,14138
2020-10-30,2020,10,30,chokepoint6,Strait of Hormuz,9,17,4,2,59,32,91,413521,497419,18062,6971,2319627,935975,3255603,14139
2020-10-31,2020,10,31,chokepoint6,Strait of Hormuz,20,17,5,1,44,43,87,806930,523651,35964,0,2653425,1366546,4019972,14140
2020-11-01,2020,11,1,chokepoint6,Strait of Hormuz,16,14,6,2,56,38,94,313822,523390,31539,0,3811060,868752,4679812,14141
2020-11-02,2020,11,2,chokepoint6,Strait of Hormuz,12,12,5,1,58,30,88,515957,422331,19934,0,3056124,958224,4014348,14142
2020-11-03,2020,11,3,chokepoint6,Strait of Hormuz,8,12,3,3,50,26,76,337636,405537,5445,6905,2971056,755525,3726581,14143
2020-11-04,2020,11,4,chokepoint6,Strait of Hormuz,14,20,4,0,49,38,87,374093,428276,13970,0,2729630,816340,3545970,14144
2020-11-05,2020,11,5,chokepoint6,Strait of Hormuz,17,16,5,3,49,41,90,569210,504710,12188,2181,2149164,1088290,3237455,14145
2020-11-06,2020,11,6,chokepoint6,Strait of Hormuz,12,11,2,2,43,27,70,392404,390090,8975,10147,1036745,801618,1838363,14146
2020-11-07,2020,11,7,chokepoint6,Strait of Hormuz,13,15,3,0,48,31,79,408795,250786,7012,0,2592207,666594,3258802,14147
2020-11-08,2020,11,8,chokepoint6,Strait of Hormuz,10,8,2,1,50,21,71,351642,325603,3329,2693,2825924,683269,3509194,14148
2020-11-09,2020,11,9,chokepoint6,Strait of Hormuz,11,10,5,0,44,26,70,445928,262703,14629,0,2316892,723260,3040153,14149
2020-11-10,2020,11,10,chokepoint6,Strait of Hormuz,12,16,3,2,61,33,94,327769,478590,1960,0,1953994,808319,2762314,14150
2020-11-11,2020,11,11,chokepoint6,Strait of Hormuz,12,20,3,1,55,36,91,512363,468055,24397,0,2881937,1004816,3886754,14151
2020-11-12,2020,11,12,chokepoint6,Strait of Hormuz,9,12,2,3,52,26,78,549005,510176,4874,9107,1584961,1073163,2658125,14152
2020-11-13,2020,11,13,chokepoint6,Strait of Hormuz,8,11,1,3,39,23,62,400817,486659,2286,2877,1962871,892641,2855512,14153
2020-11-14,2020,11,14,chokepoint6,Strait of Hormuz,7,14,2,0,35,23,58,206787,426788,23639,0,1357816,657215,2015032,14154
2020-11-15,2020,11,15,chokepoint6,Strait of Hormuz,10,10,4,0,35,24,59,512542,221974,47957,0,493426,782474,1275901,14155
2020-11-16,2020,11,16,chokepoint6,Strait of Hormuz,8,17,0,1,33,26,59,448829,326134,0,6384,1201530,781348,1982879,14156
2020-11-17,2020,11,17,chokepoint6,Strait of Hormuz,9,12,2,1,43,24,67,177198,241396,1206,0,1614011,419801,2033813,14157
2020-11-18,2020,11,18,chokepoint6,Strait of Hormuz,7,9,3,4,43,23,66,393190,337966,36144,13216,1409489,780518,2190007,14158
2020-11-19,2020,11,19,chokepoint6,Strait of Hormuz,9,16,2,1,41,28,69,305521,520813,5250,0,592202,831585,1423787,14159
2020-11-20,2020,11,20,chokepoint6,Strait of Hormuz,11,17,3,2,36,33,69,516737,587363,1089,11509,1012158,1116700,2128858,14160
2020-11-21,2020,11,21,chokepoint6,Strait of Hormuz,12,12,3,0,42,27,69,252264,325073,6356,0,2005408,583694,2589102,14161
2020-11-22,2020,11,22,chokepoint6,Strait of Hormuz,9,16,2,0,41,27,68,332318,674198,5039,0,1422519,1011556,2434076,14162
2020-11-23,2020,11,23,chokepoint6,Strait of Hormuz,8,9,3,2,35,22,57,141078,436010,7277,4826,601609,589192,1190801,14163
2020-11-24,2020,11,24,chokepoint6,Strait of Hormuz,10,14,5,0,31,29,60,538183,529894,22381,0,731153,1090459,1821612,14164
2020-11-25,2020,11,25,chokepoint6,Strait of Hormuz,12,12,2,1,49,27,76,472875,364393,4586,4110,1168443,845965,2014408,14165
2020-11-26,2020,11,26,chokepoint6,Strait of Hormuz,7,13,0,1,37,21,58,404911,495551,0,0,976617,900462,1877080,14166
2020-11-27,2020,11,27,chokepoint6,Strait of Hormuz,7,14,7,1,49,29,78,451588,461350,67122,0,1634269,980060,2614330,14167
2020-11-28,2020,11,28,chokepoint6,Strait of Hormuz,8,9,3,2,49,22,71,360833,266892,2996,3819,1354624,634541,1989166,14168
